SEX,CURICULUM,LOCAL_CAPITAL,PREV_DEGREE,GPA,RELIGION,FUND,CUM_GPA,COUNT_TERM,PARENTS_INCOME,PARENTS_MARRIED,DROPOUT
0,0,0,0,2.97,0,0,3.21,1,12860,1,1
1,0,1,0,3.05,0,0,3.69,1,31760,2,1
1,0,0,0,3.06,0,0,2.6,1,25000,1,1
1,0,0,1,3.55,0,0,2.94,1,25075,0,1
1,0,1,0,3.42,0,0,3.37,1,4000,1,1
1,0,1,0,3.67,0,0,3.57,1,8000,1,1
1,0,1,0,3.23,0,0,2.91,1,16500,2,1
1,0,1,0,3.55,0,0,2.84,1,19500,1,1
1,0,1,0,3.61,0,0,3.05,1,3500,1,1
1,0,1,0,3.3,0,0,3.43,1,11500,1,1
1,0,0,0,3.64,0,0,3.65,1,5000,1,1
1,0,0,0,3.25,0,0,3.31,1,36000,1,1
1,0,0,0,3.56,0,0,2.61,1,15000,1,1
1,0,0,0,3.26,0,0,2.32,1,12500,1,1
1,0,0,0,3.43,0,0,3.54,1,11210,1,1
0,0,0,0,3.4,0,0,3.27,1,15000,1,1
1,1,0,0,2.82,0,0,2.65,1,40000,1,1
0,1,0,0,2.18,1,0,2.1,6,10000,1,1
1,0,1,0,2.88,0,0,2.48,4,10000,1,1
1,0,0,0,2.87,1,0,2.57,6,30000,1,1
1,0,1,0,3.65,0,0,3.35,3,7250,1,1
1,0,1,0,3.26,0,0,2.81,3,15000,1,1
1,0,1,0,3.24,0,0,2.68,3,5500,0,1
1,0,1,0,3.11,0,0,3,3,6500,1,1
0,0,1,0,3.21,0,0,3.22,3,17500,1,1
1,0,0,0,3.02,0,0,3.01,3,5500,1,1
1,0,1,0,2.9,0,0,2.8,3,5500,1,1
1,0,1,0,3.47,0,0,3.66,3,10000,1,1
1,0,0,0,3.72,1,0,3.36,3,14775,1,1
1,0,1,0,2.68,1,1,0.23,1,3000,1,0
0,0,0,0,2.56,0,0,3.52,7,12500,1,1
0,1,0,0,2.91,0,0,0.72,1,20000,1,0
0,1,1,0,2.96,1,0,0.51,2,6000,3,0
1,0,1,0,3.39,0,0,3.59,8,112500,1,1
1,0,1,0,3.38,0,0,0,1,30000,1,0
0,0,1,0,3.23,0,0,3.13,8,50000,1,1
1,0,1,0,3.63,0,0,3.39,9,10000,1,1
1,0,0,0,2.99,0,0,1.78,4,31470,1,0
1,0,0,0,2.54,0,0,2.15,11,20000,1,1
0,0,1,2,2.48,0,0,3.04,9,25000,1,1
1,0,1,0,3.11,1,0,2.47,8,5000,1,1
1,0,0,0,3.72,0,0,3.14,8,6250,1,1
0,0,1,2,3.29,0,0,2.85,10,45000,1,1
0,0,1,2,3.42,0,0,3.68,9,30000,2,1
1,0,0,0,3.62,0,0,3.51,8,7000,1,1
1,0,1,2,3.14,0,1,2.95,8,30000,1,1
1,0,1,2,2.96,0,0,2.38,9,2500,3,1
1,0,1,2,3.61,0,0,2.3,8,9000,1,1
1,0,1,2,3.5,0,0,3.46,8,8000,1,1
1,0,0,0,2.63,0,0,2.44,10,10000,3,1
0,0,1,0,3.33,0,0,2.64,8,37500,1,1
1,0,1,2,3.54,0,0,3.38,8,6250,1,1
0,1,1,2,2.28,0,0,2.54,9,28500,1,1
1,1,1,2,1.79,1,0,1.59,4,13000,1,0
1,1,0,2,3.02,1,0,2.66,9,20000,1,1
1,1,1,0,3.07,0,0,2.6,9,8000,1,1
0,1,0,0,2.86,1,0,2.15,11,7500,1,1
1,1,1,2,2.02,0,0,1.88,4,4500,1,0
0,1,1,0,2.04,1,0,2.11,16,2850,1,1
1,1,1,2,3.04,0,0,3.45,9,13000,1,1
0,1,0,2,2.34,0,0,2.44,11,15000,3,1
1,1,1,0,2.38,0,0,2.36,10,9000,1,1
0,1,1,2,2.25,0,0,2.09,10,50000,1,1
1,1,1,0,3.29,0,0,3.39,10,14500,1,1
1,0,1,0,2.75,0,0,2.25,11,10530,0,1
1,1,1,0,3.36,0,0,3.36,8,25000,1,1
1,1,0,0,2.92,0,0,3.13,8,15000,1,1
0,1,1,2,2.78,0,0,2.4,10,27500,1,1
0,1,0,0,3.42,0,0,3.37,8,4500,0,1
0,1,0,0,2.59,0,0,2.52,10,59500,2,1
1,1,0,0,2.88,0,0,2.7,10,50000,1,1
1,1,1,0,3.03,0,0,2.78,9,10000,1,1
0,1,0,2,3.39,1,0,3.32,11,50000,1,1
1,1,1,0,3.12,0,0,3.1,9,20000,1,1
1,1,0,0,3.2,0,0,2.6,9,30000,1,1
0,1,1,2,2.73,0,0,3.09,9,10000,1,1
0,1,0,2,3.52,0,0,2.28,8,44000,1,1
1,1,1,2,2.89,0,0,2.95,7,25000,1,1
0,0,0,0,2.35,0,0,2.47,10,50000,2,1
1,0,1,2,3.08,0,0,3.08,8,50000,1,1
1,0,0,0,3.61,1,0,2.88,7,14000,1,1
0,0,0,0,3.03,0,0,2.84,2,25000,1,0
1,0,1,0,3.39,0,0,2.91,8,30000,1,1
0,0,1,0,2.86,0,0,2.21,8,12500,1,1
0,0,0,2,2.67,0,0,2.62,8,74830,1,1
0,0,1,2,2.22,0,0,1.93,9,69889,3,1
0,0,1,0,3.49,0,0,3.51,7,10500,1,1
0,0,0,0,3.47,0,0,3.03,8,49999,3,1
0,0,1,2,3.48,0,1,3.38,7,32000,1,1
0,0,1,0,2.9,0,0,2.37,8,27500,1,1
0,0,0,0,3.31,1,0,2.87,7,68499,3,1
0,0,1,0,2.77,1,0,2.87,8,30000,1,1
1,0,1,2,2.64,0,0,2.45,8,9000,2,1
1,0,1,0,3.74,0,0,3.16,8,30000,1,1
1,0,1,0,3.68,0,0,2.95,8,65000,1,1
0,0,1,2,3.41,0,0,2.39,9,30000,1,1
0,0,1,2,3.73,0,0,3.1,2,30000,1,0
1,1,1,2,2.77,0,0,2.79,8,17500,1,1
1,1,1,0,3.03,0,0,2.59,9,14000,1,1
0,1,1,0,3.2,1,0,2.44,9,40000,1,1
0,1,0,0,2.71,0,0,3.28,7,13500,1,1
0,1,0,0,2.53,1,0,2.43,8,4000,1,1
1,1,1,0,3.42,0,0,2.82,8,25000,1,1
1,0,1,0,3.61,0,1,2.96,2,6745,1,0
1,0,1,0,2.89,0,0,3.43,9,23520,1,1
1,0,1,0,3.2,0,0,2.52,8,15000,1,1
0,0,1,0,2.89,0,0,2.86,9,10000,1,1
0,0,0,0,2.78,0,0,3.25,9,37500,1,1
1,0,0,0,3.33,1,0,2.41,9,7000,1,1
1,0,0,0,2.8,0,0,2.29,9,60000,1,1
1,0,1,0,3.35,0,1,3.18,8,3500,1,1
0,0,0,0,3.3,0,0,3.51,9,8220,1,1
1,0,1,0,3.45,0,0,3.84,8,20000,1,1
0,0,1,0,3.52,0,0,2.92,9,13000,1,1
0,0,1,0,2.84,1,0,2.42,9,21500,1,1
1,0,1,0,3.57,0,0,2.88,9,10000,1,1
0,0,1,0,2.36,1,0,2.42,10,17500,1,1
1,0,1,0,3.55,0,0,2.6,9,4500,3,1
1,0,0,0,2.04,0,0,2.9,9,13500,1,1
1,0,1,0,3.32,0,0,2.25,11,10000,1,1
1,0,0,0,3.47,0,0,2.43,10,3500,2,1
0,0,1,0,3.04,0,0,3.21,8,42500,1,1
0,0,1,0,2.76,0,0,2.39,9,25000,1,1
1,1,0,0,2.83,0,0,3.47,10,10000,1,1
1,1,0,0,2.37,0,0,2.69,9,20500,2,1
1,1,0,0,2.48,0,0,2.7,10,22500,1,1
0,1,0,0,2.47,0,0,2.24,10,25000,0,1
1,1,0,0,2.65,0,0,2.31,9,3250,1,1
0,1,1,0,2.15,0,0,2.29,13,22000,1,1
0,1,0,0,2.37,0,0,0,2,80000,1,0
1,1,0,0,2.41,0,0,2.53,11,35000,1,1
1,1,1,0,2.61,0,0,2.61,10,6000,1,1
1,1,0,0,2.63,0,0,2.39,11,5000,1,1
1,1,1,0,2.67,1,0,2.17,10,15000,1,1
1,1,1,2,2.97,0,0,2.97,9,15000,1,1
